uniprot,mod_sev_d0_0,mod_sev_d0_1,npx_difference,OR,p_value,minuslog10p,below_fdr,gene_name,gene_description
P80511,3.9536060935789474,5.462074266538462,1.5084681729595144,2.8783502157255763,1.9000565655139545e-08,7.721233469718276,True,S100A12,S100 calcium binding protein A12
Q01638,5.7970944371333335,7.405824227142857,1.6087297900095239,3.0945881725280637,2.091476931551141e-08,7.679546921212586,True,IL1RL1,interleukin 1 receptor-like 1
P14210,10.643206932710527,11.800709815406593,1.1575028826960665,2.603137572849381,1.9267234178384435e-07,6.715180624071923,True,HGF,hepatocyte growth factor (hepapoietin A; scatter factor)
Q9Y279,6.5521105255526315,7.687868853109889,1.1357583275572578,2.963671455580122,2.1141230718943946e-07,6.674869734205118,True,VSIG4,V-set and immunoglobulin domain containing 4
Q8WTT0,2.708801086671053,1.6956262543406593,-1.0131748323303935,0.25285014182385335,2.1864488964959743e-07,6.660260668892722,True,CLEC4C,"C-type lectin domain family 4, member C"
P24821,2.9963743145,4.093640516351648,1.0972662018516481,3.1104192555267467,3.7404689883382047e-07,6.4270739415754665,True,TNC,tenascin C
P55773,11.58786870125,12.299172425274724,0.7113037240247237,4.045427371061452,7.964165608649131e-07,6.098859717733694,True,CCL23,chemokine (C-C motif) ligand 23
P01258,7.542009717289473,9.197638852912087,1.6556291356226138,1.8258110851693157,9.74604294850557e-07,6.01117167911747,True,CALCA,calcitonin-related polypeptide alpha
P29017,4.097932267447368,3.4531063414395606,-0.6448259260078077,0.16579535398827558,1.0459191048351693e-06,5.980501904075144,True,CD1C,CD1c molecule
P13611,4.597140871368421,5.365661390714286,0.7685205193458646,4.248481461982079,1.37505115595194e-06,5.861681144499628,True,VCAN,versican
Q9NQ79,1.3209235439210527,0.8501660617362637,-0.47075748218478897,0.13562539483998007,1.8910978386124681e-06,5.723286001736487,True,CRTAC1,cartilage acidic protein 1
Q13219,3.9690958837105264,4.734096033355556,0.7650001496450294,3.1774215801677324,2.9364025560393874e-06,5.532184406561723,True,PAPPA,"pregnancy-associated plasma protein A, pappalysin 1"
P23280,0.25239620977631577,-0.4020949711538462,-0.6544911809301619,0.279897777321145,3.7874352087695034e-06,5.421654787853218,True,CA6,carbonic anhydrase VI
O14763,6.990929373539474,7.9054571160555565,0.914527742516082,2.8912065165979244,3.960993149059101e-06,5.402195908751577,True,TNFRSF10B,"tumor necrosis factor receptor superfamily, member 10b"
P04275,9.363221661959999,10.172798231406594,0.8095765694465946,2.5379643255009725,8.103625701136375e-06,5.091320626838935,True,VWF,von Willebrand factor
P20160,6.759868178346667,7.717051089978022,0.9571829116313548,2.3446422656222343,8.232247311598226e-06,5.084481591057933,True,AZU1,azurocidin 1
P15514,3.192381816394737,4.1581550783956045,0.9657732620008677,2.358808307637361,8.241983668683687e-06,5.083968250355908,True,"AREG,AREGB","amphiregulin,amphiregulin B"
Q9NY25,4.791392218105263,5.425329822307692,0.633937604202429,3.5873156921455767,8.94347458316089e-06,5.0484937229121005,True,CLEC5A,"C-type lectin domain family 5, member A"
Q07065,6.407982505842106,7.236465240406594,0.8284827345644885,2.5978068864025414,9.35676840330925e-06,5.028874119952454,True,CKAP4,cytoskeleton-associated protein 4
P07711,8.808730315105263,9.563176196255556,0.7544458811502928,3.442841323558935,1.0719874374472124e-05,4.969810304082915,True,CTSL,cathepsin L
P00750,8.548267786613332,9.501422019868132,0.9531542332548,2.6630188090578746,1.1183924208853472e-05,4.951405784712508,True,PLAT,"plasminogen activator, tissue"
P21583,10.278197968828946,9.630982770322223,-0.6472151985067232,0.32027668549086147,1.2158549030208435e-05,4.915118249551155,True,KITLG,KIT ligand
Q9UGM5,1.1407493948026315,0.5090372554725274,-0.6317121393301041,0.25783431999355527,1.2432339253034091e-05,4.905447147375979,True,FETUB,fetuin B
P24158,6.807801898266666,7.639991012098901,0.8321891138322348,3.048389269756967,1.2885402136844967e-05,4.889902023128794,True,PRTN3,proteinase 3
Q9GZM7,4.454905928934211,5.007739546571428,0.5528336176372175,4.254930339643092,1.548878586208131e-05,4.809982624465753,True,TINAGL1,tubulointerstitial nephritis antigen-like 1
P10451,8.686785028093333,9.451059585890109,0.7642745577967762,2.419434888791126,1.735449312347686e-05,4.760588066342423,True,SPP1,secreted phosphoprotein 1
P18065,9.241871805119999,10.066247111197802,0.824375306077803,2.2089768771446487,2.2750171285770094e-05,4.64301532919655,True,IGFBP2,"insulin-like growth factor binding protein 2, 36kDa"
O14788,3.8061509962105267,2.9706990278571426,-0.8354519683533841,0.3864751197707665,2.9582021660806807e-05,4.528972149266425,True,TNFSF11,"tumor necrosis factor (ligand) superfamily, member 11"
P09769,2.907146426197368,3.599563833,0.6924174068026319,3.0901011729842764,3.0431467227008202e-05,4.516677108002271,True,FGR,feline Gardner-Rasheed sarcoma viral oncogene homolog
Q9UKX5,2.4032860734605266,2.014813155912088,-0.3884729175484387,0.23203689972626793,3.705698127521365e-05,4.431129961944116,True,ITGA11,"integrin, alpha 11"
Q9NP99,2.4127225380657897,2.8966209654395607,0.483898427373771,3.0870297173040377,4.29581606780899e-05,4.3669543219187625,True,TREM1,triggering receptor expressed on myeloid cells 1
Q9Y240,5.732191209263157,6.461387982340659,0.7291967730775015,2.445131578322857,4.524029115988639e-05,4.344474608681924,True,CLEC11A,"C-type lectin domain family 11, member A"
P36222,8.023911759933334,9.085602846780219,1.061691086846885,2.0135755745147836,4.776432821735287e-05,4.320896326021406,True,CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39)
P10145,7.097782378605263,7.9334964064505495,0.8357140278452864,2.0439767750877773,4.9747589919194247e-05,4.303227954318224,True,IL8,interleukin 8
Q03405,6.9954811910000005,7.511633989197803,0.516152798197802,3.03173870431897,6.327977418953751e-05,4.1987350792640585,True,PLAUR,"plasminogen activator, urokinase receptor"
P09238,6.439195540131579,6.993110512692308,0.5539149725607286,2.853396682174199,6.70160863748461e-05,4.1738209378173154,True,MMP10,matrix metallopeptidase 10 (stromelysin 2)
Q9UKL0,2.5483567123289474,3.04324992032967,0.4948932080007227,3.8887944997766546,8.677949304739869e-05,4.061582891281714,True,RCOR1,REST corepressor 1
Q08431,4.541297182815789,5.165793968725275,0.6244967859094857,2.688872241127715,8.795455480365925e-05,4.055741665304018,True,MFGE8,milk fat globule-EGF factor 8 protein
P01033,7.013554410513159,7.518699022868132,0.5051446123549734,3.5345411059445646,9.06967320903854e-05,4.042408360797468,True,TIMP1,TIMP metallopeptidase inhibitor 1
P31997,4.665572673447369,5.332984761777778,0.6674120883304093,2.197411517105111,9.48466348238293e-05,4.022978073350627,True,CEACAM8,carcinoembryonic antigen-related cell adhesion molecule 8
O95445,7.005707447750001,6.474619864626374,-0.531087583123627,0.32331060851719207,9.920852787755653e-05,4.003450994670609,True,APOM,apolipoprotein M
Q07954,2.947881157763158,3.4293076381758247,0.4814264804126669,3.936192083379089,0.00011007867636053267,3.958296801244945,True,LRP1,low density lipoprotein receptor-related protein 1
P59665,3.0627651163684213,3.730519823175824,0.6677547068074028,2.528300905674327,0.00011635844329966781,3.934202097590728,True,"DEFA1,DEFA1B","defensin, alpha 1,defensin, alpha 1B"
P01374,4.710541334973684,4.141181286747253,-0.5693600482264314,0.3146022715096604,0.00011876553378743498,3.92530957499182,True,LTA,lymphotoxin alpha
P01589,5.479800907106667,6.0085292201318685,0.5287283130252014,2.700790713217716,0.0001188428757188733,3.9250268478333035,True,IL2RA,"interleukin 2 receptor, alpha"
P80098,4.036978552460527,5.364904337252747,1.3279257847922201,1.6196978604365897,0.00012982182340432084,3.886652295306008,True,CCL7,chemokine (C-C motif) ligand 7
Q99988,7.861667311040001,8.527609400087911,0.6659420890479106,2.0647671959667293,0.0001358932713722699,3.866802046418631,True,GDF15,growth differentiation factor 15
P27930,5.45354702416,6.010220634010989,0.5566736098509892,3.390501869485923,0.00014153624369392801,3.849132334551354,True,IL1R2,"interleukin 1 receptor, type II"
O95994,3.40317567325,4.283140638945055,0.8799649656950548,2.091261952126592,0.00014865982520676622,3.827806382173333,True,AGR2,anterior gradient 2
O14798,7.19859487836,7.491035350065935,0.2924404717059348,3.7083228498152425,0.00015291866744156373,3.815539495150114,True,TNFRSF10C,"tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
P20023,5.385784050907894,4.71656587865934,-0.669218172248554,0.38625826006857067,0.00015471239771295073,3.8104748831811364,True,CR2,complement component (3d/Epstein Barr virus) receptor 2
P05164,6.74694512552,7.260612091714285,0.5136669661942852,3.453086431556213,0.00015732490099120387,3.8032025328936014,True,MPO,myeloperoxidase
P02144,7.397873607906666,8.456144119428572,1.058270511521906,1.5945354748975442,0.00015972110730968624,3.7966376876035484,True,MB,myoglobin
P15291,2.983909371855263,3.7053733068571426,0.7214639350018794,2.139021014628174,0.00016747178807508846,3.7760583427480388,True,B4GALT1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"
P08727,5.6510242715526315,6.971069880153846,1.3200456086012142,1.6150890472915462,0.00017675275303618692,3.7526338130664914,True,KRT19,keratin 19
P07478,3.3658214132894737,4.1544814012857145,0.7886599879962408,1.7909541139182947,0.000200719178599354,3.6974111289478198,True,PRSS2,"protease, serine, 2 (trypsin 2)"
P10646,10.710068052106667,11.15614202987912,0.4460739777724534,2.790837745709183,0.00020385798676684653,3.6906722690495872,True,TFPI,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
